Product_itemcode	product_Name	Material_itemcode	Material_name
PFTS0129	40-05 RED Rom	C0058	palistrol otxod drobilka
PFTS0121	40-03 RED Rom	C0064	palistrol
PFTS0121	40-03 RED Rom	C0058	palistrol otxod drobilka
PFT0160	Tosh keramika 24 (2 talik roz)	PFE0213	loy drobilka
PFTS0111	40-50 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0197	50-61 RED Rom	C0058	palistrol otxod drobilka
PFTS0197	50-61 RED Rom	C0064	palistrol
PFT0150	24 Driver korpus Veral YTM	C0041	Oq rang
PFT0150	24 Driver korpus Veral YTM	C0259	PC drobilka ko'cha otxod
PFT0150	24 Driver korpus Veral YTM	C0258	PC drobilka ko'cha
PFTS0024	50-44 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0046	50-31 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFT0154	48 Driver korpus Veral YTM	C0041	Oq rang
PFT0154	48 Driver korpus Veral YTM	C0259	PC drobilka ko'cha otxod
PFT0154	48 Driver korpus Veral YTM	C0258	PC drobilka ko'cha
PFTS0052	50-40 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFT0192	Vnut 24 Ramka Gold	C0014	rish abs otxod
PFT0192	Vnut 24 Ramka Gold	C0017	rich abs
PFTS0045	50-30 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFT0190	Vnut 8 Ramka Gold	C0017	rich abs
PFT0190	Vnut 8 Ramka Gold	C0014	rish abs otxod
PFTS0120	40-03 BLUE Rom	C0064	palistrol
PFTS0120	40-03 BLUE Rom	C0058	palistrol otxod drobilka
PFT0042	PLASMASSA TEGI-100 Gold	C0014	rich abs otxod
PFT0042	PLASMASSA TEGI-100 Gold	C0017	rich abs
PFT0041	PLASMASSA TEGI-100 Platinum	C0014	rich abs otxod
PFT0041	PLASMASSA TEGI-100 Platinum	C0017	rich abs
PFTS0041	50-26 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0039	50-24 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0095	40-34 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0043	50-28 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0015	18w-korpus	C0149	PBT
PFTS0015	18w-korpus	C0196	PBT drobilka
PFTS0222	40-08 Plafon Korpus	PZ0104	PZ-Pet list 365-370
PFTS0107	40-46 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0182	50-04 COFFEE Rom	C0064	palistrol
PFTS0182	50-04 COFFEE Rom	C0058	palistrol otxod drobilka
PFTS0058	50-49 Plafon korpus	PZ0106	PZ-Pet list 465-470
PFTS0079	40-07 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFTS0088	40-27 Plafon korpus	PZ0104	PZ-Pet list 365-370
PFT0009	KRISHKA-100 Silver	C0014	rish abs otxod
PFT0009	KRISHKA-100 Silver	C0017	rich abs
PFT0194	Nar 8 Tagi platinum	C0017	rich abs
PFT0194	Nar 8 Tagi platinum	C0014	rish abs otxod
